Frame,Timestamp(s),Offset(m),Direction,Drift Warning,Lane Detected
413,13.77,0.01935249370229001,Left,No,Yes
414,13.80,0.018408788054196115,Left,No,Yes
415,13.83,0.017880228315983907,Left,No,Yes
416,13.87,0.017630802452653895,Left,No,Yes
417,13.90,0.016859793973010326,Left,No,Yes
418,13.93,0.016588748243941367,Left,No,Yes
419,13.97,0.01662564786442736,Left,No,Yes
420,14.00,0.01624806441342959,Left,No,Yes
421,14.03,0.0171664653643257,Left,No,Yes
422,14.07,0.018056457184844835,Left,No,Yes
423,14.10,0.019955361647189418,Left,No,Yes
424,14.13,0.02141415160510092,Left,No,Yes
425,14.17,0.023367054974439163,Left,No,Yes
426,14.20,0.021904768711990097,Left,No,Yes
427,14.23,0.02128171419987554,Left,No,Yes
428,14.27,0.019208012890549284,Left,No,Yes
429,14.30,0.01757969999043053,Left,No,Yes
430,14.33,0.015811401010232158,Left,No,Yes
431,14.37,0.015572017289522842,Left,No,Yes
432,14.40,0.01596024721996046,Left,No,Yes
433,14.43,0.01613157194707626,Left,No,Yes
434,14.47,0.015919029399421993,Left,No,Yes
435,14.50,0.01756097015585843,Left,No,Yes
436,14.53,0.01923913976307811,Left,No,Yes
437,14.57,0.020492927163228432,Left,No,Yes
438,14.60,0.022815823694425544,Left,No,Yes
439,14.63,0.02214036174151998,Left,No,Yes
440,14.67,0.02085223072751059,Left,No,Yes
441,14.70,0.02108144106869319,Left,No,Yes
442,14.73,0.019761295968488433,Left,No,Yes
443,14.77,0.01841813595763797,Left,No,Yes
444,14.80,0.019520512774252142,Left,No,Yes
445,14.83,0.019435480372278213,Left,No,Yes
446,14.87,0.018868898204059525,Left,No,Yes
447,14.90,0.019016750777501434,Left,No,Yes
448,14.93,0.018031240460300815,Left,No,Yes
449,14.97,0.018361175730775912,Left,No,Yes
450,15.00,0.019726529215932292,Left,No,Yes
451,15.03,0.020840387930288383,Left,No,Yes
452,15.07,0.022958958996807007,Left,No,Yes
453,15.10,0.021857660665200042,Left,No,Yes
454,15.13,0.019531745426755388,Left,No,Yes
455,15.17,0.018725390855848272,Left,No,Yes
456,15.20,0.01822186778002026,Left,No,Yes
457,15.23,0.016721393274288947,Left,No,Yes
458,15.27,0.0163245708793852,Left,No,Yes
459,15.30,0.015902168722425454,Left,No,Yes
460,15.33,0.01582884528691559,Left,No,Yes
461,15.37,0.01662929022496665,Left,No,Yes
462,15.40,0.016018007189583523,Left,No,Yes
463,15.43,0.016187454250280082,Left,No,Yes
464,15.47,0.017056598846116044,Left,No,Yes
465,15.50,0.01752572572698383,Left,No,Yes
466,15.53,0.01979863691878613,Left,No,Yes
467,15.57,0.022116544924251046,Left,No,Yes
468,15.60,0.022613012504991134,Left,No,Yes
469,15.63,0.020855920110130335,Left,No,Yes
470,15.67,0.02054727032461014,Left,No,Yes
